City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kloulklubed,7.0419,134.2556,31.28,81,53,5.4,PW,1696133915
1,dzuunmod,48.2199,97.3744,8.73,29,100,1.13,MN,1696133916
2,edinburgh of the seven seas,-37.0676,-12.3116,10.13,69,92,13.79,SH,1696133602
3,chingirlau,51.095,54.0814,11.66,71,22,3.79,KZ,1696133916
4,waitangi,-43.9535,-176.5597,11.01,79,22,5.81,NZ,1696133583
5,port alfred,-33.5906,26.891,11.21,87,56,0.89,ZA,1696133640
6,berdigestyakh,62.0989,126.6992,9.52,46,49,3.12,RU,1696133917
7,batang,-6.4846,110.7083,30.43,53,24,5.2,ID,1696133624
8,whitehorse,60.7161,-135.0538,6.84,72,100,6.69,CA,1696133595
9,hassi messaoud,31.6804,6.0729,21.92,64,0,4.12,DZ,1696133917
10,aasiaat,68.7098,-52.8699,-7.59,85,14,4.16,GL,1696133603
11,tiksi,71.6872,128.8694,-3.02,78,94,2.24,RU,1696133609
12,kavaratti,10.5669,72.642,28.29,77,100,7.77,IN,1696133628
13,port-aux-francais,-49.35,70.2167,6.56,93,100,17.87,TF,1696133579
14,richland,40.7834,-82.5499,15.94,91,0,0.0,US,1696133918
15,gateway,26.5776,-81.7504,24.99,97,0,3.09,US,1696133865
16,vila franca do campo,37.7167,-25.4333,20.49,99,100,3.76,PT,1696133591
17,jamestown,42.097,-79.2353,15.01,100,75,0.0,US,1696133580
18,udachny,66.4167,112.4,1.36,92,100,4.42,RU,1696133606
19,grytviken,-54.2811,-36.5092,2.5,70,9,5.24,GS,1696133592
20,ushuaia,-54.8,-68.3,4.81,70,0,2.57,AR,1696133602
21,enewetak,11.3474,162.3373,28.87,77,65,5.25,MH,1696133619
22,vilyuchinsk,52.9306,158.4028,13.15,57,60,2.07,RU,1696133539
23,twentynine palms,34.1356,-116.0542,17.08,49,1,1.79,US,1696133920
24,georgetown,5.4112,100.3354,32.75,70,20,2.57,MY,1696133468
25,cabo san lucas,22.8909,-109.9124,29.61,74,31,2.68,MX,1696133382
26,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,62,20,5.0,RU,1696133640
27,kununurra,-15.7667,128.7333,36.99,30,40,5.66,AU,1696133921
28,puerto natales,-51.7236,-72.4875,0.86,84,26,2.22,CL,1696133582
29,adamstown,-25.066,-130.1015,20.63,88,100,11.12,PN,1696133581
30,bethel,41.3712,-73.414,15.36,89,31,0.45,US,1696133565
31,thompson,55.7435,-97.8558,1.09,100,75,1.03,CA,1696133600
32,hithadhoo,-0.6,73.0833,27.86,76,100,7.97,MV,1696133594
33,ixtapa,20.7,-105.2,27.35,83,75,4.12,MX,1696133922
34,blackmans bay,-43.0167,147.3167,16.07,51,49,7.19,AU,1696133604
35,port lincoln,-34.7333,135.8667,17.76,54,0,3.56,AU,1696133598
36,bilibino,68.0546,166.4372,-4.81,90,99,1.86,RU,1696133587
37,kuanda,56.3161,116.0806,12.66,44,36,0.72,RU,1696133923
38,lerwick,60.1545,-1.1494,12.0,87,46,8.29,GB,1696133581
39,sao vicente,-23.9631,-46.3919,24.1,26,98,1.27,BR,1696133923
40,murghob,38.1702,73.9667,2.26,37,1,1.4,TJ,1696133924
41,utrik,11.2278,169.8474,27.02,82,100,3.92,MH,1696133594
42,jayapura,-2.5333,140.7,28.66,77,100,1.55,ID,1696133924
43,lebu,-37.6167,-73.65,9.55,92,100,3.26,CL,1696133604
44,iqaluit,63.7506,-68.5145,1.85,100,100,1.54,CA,1696133598
45,marovoay,-16.1,46.6333,24.2,69,10,1.77,MG,1696133925
46,nefteyugansk,61.0998,72.6035,2.63,63,84,7.04,RU,1696133767
47,college,64.8569,-147.8028,5.6,64,75,2.57,US,1696133584
48,port elizabeth,-33.918,25.5701,12.4,83,0,4.12,ZA,1696133586
49,fale old settlement,-9.3852,-171.2468,28.71,70,97,1.92,TK,1696133642
50,arjona,10.2544,-75.3439,28.59,92,83,1.25,CO,1696133926
51,yeppoon,-23.1333,150.7333,27.88,54,15,5.24,AU,1696133926
52,palikir - national government center,6.9248,158.1611,29.41,84,100,5.14,FM,1696133634
53,new norfolk,-42.7826,147.0587,16.72,70,58,5.88,AU,1696133616
54,shevchenko,48.5,35.0,16.11,48,0,1.45,UA,1696133926
55,lhuentse,27.6679,91.1839,23.33,82,96,0.44,BT,1696133927
56,dikwa,12.024,13.9165,25.69,78,97,2.18,NG,1696133927
57,nuku'alofa,-21.1333,-175.2,24.19,53,20,4.12,TO,1696133927
58,wailua homesteads,22.0669,-159.378,28.24,80,75,6.17,US,1696133608
59,bulungu,-4.55,18.6,21.77,96,98,1.22,CD,1696133927
60,atafu village,-8.5421,-172.5159,28.91,67,51,2.81,TK,1696133627
61,rock falls,41.7798,-89.689,21.32,81,0,2.57,US,1696133928
62,thunder bay,48.4001,-89.3168,15.99,94,100,4.12,CA,1696133647
63,olonkinbyen,70.9221,-8.7187,0.67,64,100,1.77,SJ,1696133586
64,ribeira grande,38.5167,-28.7,17.65,85,74,4.02,PT,1696133580
65,princeville,45.7668,-61.2985,12.95,98,87,0.84,CA,1696133929
66,san clemente del tuyu,-36.3569,-56.7235,7.77,83,14,5.13,AR,1696133690
67,sitka,57.0531,-135.33,9.94,76,100,7.2,US,1696133644
68,hilo,19.7297,-155.09,26.85,82,75,2.57,US,1696133520
69,henderson,36.0397,-114.9819,21.69,42,75,8.23,US,1696133703
70,pandan,14.0453,124.1694,29.2,77,100,4.18,PH,1696133930
71,machico,32.7,-16.7667,23.17,81,20,0.51,PT,1696133930
